57,58,59,60,61,62,63,64,65,66,67,68;56,57,58,59,60
97,98,99,100,101,102,103,104,105,106,107;84,85,86,87,88,89
54,55,56,57,58,59,60,61;83,84,85,86,87,88,89,90,91,92,93,94,95,96
81,82,83,84,85,86,87,88,89,90;66,67,68,69,70,71,72,73,74,75
9,10,11;33,34,35
73,74,75,76,77,78,79;60,61,62,63,64,65,66,67,68,69
1,2,3,4;3,4,5,6
97,98,99,100,101,102,103;65,66,67,68,69,70,71,72,73,74,75,76,77,78
96,97,98,99,100,101,102,103;95,96,97,98,99,100,101,102,103
20,25,36,45,89;25,36,77,88,98
9,10,11;11,12,13
58,59,60,61,62,63,64,65,66,67,68,69,70;54,55,56,57,58,59
62,63,64,65,66,67,68,69,70,71,72,73;76,77,78,79,80,81,82,83
98,99,100,101,102,103,104,105,106,107,108,109,110;82,83,84,85,86,87,88,89,90,91,92,93,94,95
67,68,69,70,71,72,73,74,75,76,77,78,79,80;60,61,62,63,64,65,66
75,76,77,78,79,80,81;62,63,64,65,66,67,68,69
68,69,70,71,72,73,74;60,61,62,63,64,65,66,67,68,69,70,71,72,73,74
59,60,61,62,63,64,65,66,67,68,69,70;50,51,52,53,54,55,56
61,62,63,64,65,66;77,78,79,80,81,82,83
96,97,98,99,100,101,102,103,104,105,106,107,108;71,72,73,74,75,76,77,78,79,80,81,82,83,84
